study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB1788	SAMEA2591074	ERS477953	ERX289004	ERR315856	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315856/ERR315856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315856/ERR315856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315856/ERR315856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315856/ERR315856_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_AAXIOSE_8_1_81DFCABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_AAXIOSE_8_2_81DFCABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_AAXIOSE_8_1_81DFCABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_AAXIOSE_8_2_81DFCABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315856	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315856		
PRJEB1788	SAMEA2591057	ERS477931	ERX289005	ERR315857	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315857/ERR315857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315857/ERR315857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315857/ERR315857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315857/ERR315857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_DOSE_6_1_81DHUABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_DOSE_6_2_81DHUABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_DOSE_6_1_81DHUABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242033/fastq/ANB_DOSE_6_2_81DHUABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315857	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315857		
PRJEB1788	SAMEA2622694	ERS492703	ERX552279	ERR594284	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACTIOSF_2_1_D1122ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACTIOSF_2_2_D1122ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACTIOSF_2_1_D1122ACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACTIOSF_2_2_D1122ACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594284	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594284		
PRJEB1788	SAMEA2622799	ERS492866	ERX552269	ERR594285	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADLIOSF_2_1_D1122ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADLIOSF_2_2_D1122ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADLIOSF_2_1_D1122ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADLIOSF_2_2_D1122ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594285	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594285		
PRJEB1788	SAMEA2621204	ERS490548	ERX552272	ERR594286	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594286/ERR594286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594286/ERR594286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594286/ERR594286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594286/ERR594286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACFIOSF_8_1_C077RACXX.IND8.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACFIOSF_8_2_C077RACXX.IND8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACFIOSF_8_1_C077RACXX.IND8.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACFIOSF_8_2_C077RACXX.IND8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594286	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594286		
PRJEB1788	SAMEA2622763	ERS492818	ERX552278	ERR594287	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADMIOSF_3_1_D1122ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADMIOSF_3_2_D1122ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADMIOSF_3_1_D1122ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ADMIOSF_3_2_D1122ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594287	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594287		
PRJEB1788	SAMEA2619531	ERS488119	ERX552288	ERR594288	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594288/ERR594288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594288/ERR594288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594288/ERR594288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594288/ERR594288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABAIOSF_7_1_D172HACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABAIOSF_7_2_D172HACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABAIOSF_7_1_D172HACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABAIOSF_7_2_D172HACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594288	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594288		
PRJEB1788	SAMEA2621295	ERS490722	ERX552271	ERR594289	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594289/ERR594289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594289/ERR594289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594289/ERR594289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594289/ERR594289_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACMIOSF_5_1_C08PCACXX.IND10.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACMIOSF_5_2_C08PCACXX.IND10.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACMIOSF_5_1_C08PCACXX.IND10.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ACMIOSF_5_2_C08PCACXX.IND10.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594289	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594289		
PRJEB1788	SAMEA2619974	ERS488773	ERX552294	ERR594290	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594290/ERR594290_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABHIOSF_1_1_C0D1JACXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABHIOSF_1_2_C0D1JACXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABHIOSF_1_1_C0D1JACXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABHIOSF_1_2_C0D1JACXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594290	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594290		
PRJEB1788	SAMEA2620894	ERS490089	ERX552283	ERR594291	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABNIOSF_4_1_C077RACXX.IND3.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABNIOSF_4_2_C077RACXX.IND3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABNIOSF_4_1_C077RACXX.IND3.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356217/fastq/ANB_ABNIOSF_4_2_C077RACXX.IND3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594291	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594291		
