study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB4419	SAMEA2619686	ERS488354	ERX552325	ERR594352	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AACOSW_5_1_C0C2AACXX.IND11_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AACOSW_5_2_C0C2AACXX.IND11_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AACOSW_5_1_C0C2AACXX.IND11_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AACOSW_5_2_C0C2AACXX.IND11_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594352	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594352		
PRJEB4419	SAMEA2621085	ERS490346	ERX552346	ERR594353	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594353/ERR594353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594353/ERR594353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594353/ERR594353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594353/ERR594353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABNOSW_8_1_D11VRACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABNOSW_8_2_D11VRACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABNOSW_8_1_D11VRACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABNOSW_8_2_D11VRACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594353	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594353		
PRJEB4419	SAMEA2621213	ERS490557	ERX552347	ERR594354	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594354/ERR594354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594354/ERR594354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594354/ERR594354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594354/ERR594354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABROSW_2_1_C0URDACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABROSW_2_2_C0URDACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABROSW_2_1_C0URDACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABROSW_2_2_C0URDACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594354	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594354		
PRJEB4419	SAMEA2621229	ERS490610	ERX552344	ERR594355	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594355/ERR594355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594355/ERR594355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594355/ERR594355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594355/ERR594355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABSOSW_2_1_C0URDACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABSOSW_2_2_C0URDACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABSOSW_2_1_C0URDACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABSOSW_2_2_C0URDACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594355	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594355		
PRJEB4419	SAMEA2620078	ERS488892	ERX552306	ERR594356	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594356/ERR594356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594356/ERR594356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594356/ERR594356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594356/ERR594356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACEOSW_7_1_D11UHACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACEOSW_7_2_D11UHACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACEOSW_7_1_D11UHACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACEOSW_7_2_D11UHACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594356	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594356		
PRJEB4419	SAMEA2622357	ERS492198	ERX552356	ERR594357	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594357/ERR594357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594357/ERR594357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594357/ERR594357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594357/ERR594357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AAROSW_8_1_C084LACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AAROSW_8_2_C084LACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AAROSW_8_1_C084LACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AAROSW_8_2_C084LACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594357	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594357		
PRJEB4419	SAMEA2619677	ERS488340	ERX552351	ERR594358	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594358/ERR594358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594358/ERR594358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594358/ERR594358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594358/ERR594358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AASOSW_1_1_C0UVLACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AASOSW_1_2_C0UVLACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AASOSW_1_1_C0UVLACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_AASOSW_1_2_C0UVLACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594358	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594358		
PRJEB4419	SAMEA2620879	ERS490053	ERX552326	ERR594359	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594359/ERR594359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594359/ERR594359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594359/ERR594359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594359/ERR594359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_8_1_D11UHACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_8_2_D11UHACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_8_1_D11UHACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_8_2_D11UHACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594359	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594359		
PRJEB4419	SAMEA2619854	ERS488613	ERX552360	ERR594360	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594360/ERR594360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594360/ERR594360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594360/ERR594360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594360/ERR594360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABVOSW_8_1_D11VRACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABVOSW_8_2_D11VRACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABVOSW_8_1_D11VRACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ABVOSW_8_2_D11VRACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594360	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594360		
PRJEB4419	SAMEA2620879	ERS490053	ERX552361	ERR594361	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594361/ERR594361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594361/ERR594361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594361/ERR594361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594361/ERR594361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_7_1_D11UHACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_7_2_D11UHACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_7_1_D11UHACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA356/ERA356219/fastq/APX_ACGOSW_7_2_D11UHACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594361	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594361		
