study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6608	SAMEA2621198	ERS490542	ERX1080650	ERR1001626	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1001626/ERR1001626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1001626/ERR1001626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1001626/ERR1001626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1001626/ERR1001626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/ERR1001626.md5;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AANAOSW_1_1_C49VTACXX.IND2_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AANAOSW_1_2_C49VTACXX.IND2_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/ERR1001626.md5;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AANAOSW_1_1_C49VTACXX.IND2_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AANAOSW_1_2_C49VTACXX.IND2_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1001626	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1001626		
PRJEB6608	SAMEA2621254	ERS490659	ERX1080651	ERR1001627	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1001627/ERR1001627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1001627/ERR1001627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1001627/ERR1001627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1001627/ERR1001627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/ERR1001627.md5;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AAPAOSW_8_1_C4VM6ACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AAPAOSW_8_2_C4VM6ACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/ERR1001627.md5;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AAPAOSW_8_1_C4VM6ACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA475/ERA475773/fastq/BEZ_AAPAOSW_8_2_C4VM6ACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1001627	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1001627		
PRJEB6608	SAMEA2623850	ERS494518	ERX1399744	ERR1328122	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328122/ERR1328122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328122/ERR1328122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328122/ERR1328122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328122/ERR1328122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_8_1_C4VJ6ACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_8_2_C4VJ6ACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_8_1_C4VJ6ACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_8_2_C4VJ6ACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/002/ERR1328122	ftp.sra.ebi.ac.uk/vol1/err/ERR132/002/ERR1328122		
PRJEB6608	SAMEA2620085	ERS488920	ERX1399743	ERR1328123	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328123/ERR1328123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328123/ERR1328123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328123/ERR1328123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328123/ERR1328123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_5_1_C7RP7ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_5_2_C7RP7ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_5_1_C7RP7ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_5_2_C7RP7ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/003/ERR1328123	ftp.sra.ebi.ac.uk/vol1/err/ERR132/003/ERR1328123		
PRJEB6608	SAMEA2620085	ERS488920	ERX1399742	ERR1328124	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328124/ERR1328124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328124/ERR1328124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328124/ERR1328124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328124/ERR1328124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_1_1_C4VBLACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_1_2_C4VBLACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_1_1_C4VBLACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_AAFAOSW_1_2_C4VBLACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/004/ERR1328124	ftp.sra.ebi.ac.uk/vol1/err/ERR132/004/ERR1328124		
PRJEB6608	SAMEA2623850	ERS494518	ERX1399746	ERR1328125	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328125/ERR1328125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328125/ERR1328125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328125/ERR1328125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328125/ERR1328125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_3_1_C7R7GACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_3_2_C7R7GACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_3_1_C7R7GACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ACPAOSW_3_2_C7R7GACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/005/ERR1328125	ftp.sra.ebi.ac.uk/vol1/err/ERR132/005/ERR1328125		
PRJEB6608	SAMEA2623851	ERS494519	ERX1399745	ERR1328126	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328126/ERR1328126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328126/ERR1328126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328126/ERR1328126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328126/ERR1328126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_8_1_C7R7GACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_8_2_C7R7GACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_8_1_C7R7GACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_8_2_C7R7GACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/006/ERR1328126	ftp.sra.ebi.ac.uk/vol1/err/ERR132/006/ERR1328126		
PRJEB6608	SAMEA2623851	ERS494519	ERX1399747	ERR1328127	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328127/ERR1328127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328127/ERR1328127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328127/ERR1328127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328127/ERR1328127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_1_1_C7BWPACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_1_2_C7BWPACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_1_1_C7BWPACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA582/ERA582742/fastq/BEZ_ADAAOSW_1_2_C7BWPACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR132/007/ERR1328127	ftp.sra.ebi.ac.uk/vol1/err/ERR132/007/ERR1328127		
PRJEB6608	SAMEA3905024	ERS1092158	ERX1408503	ERR1336911	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1336911/ERR1336911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1336911/ERR1336911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1336911/ERR1336911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1336911/ERR1336911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_7_1_C7R7GACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_7_2_C7R7GACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_7_1_C7R7GACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_7_2_C7R7GACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/001/ERR1336911	ftp.sra.ebi.ac.uk/vol1/err/ERR133/001/ERR1336911		
PRJEB6608	SAMEA3905024	ERS1092158	ERX1408504	ERR1336912	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1336912/ERR1336912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1336912/ERR1336912_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1336912/ERR1336912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1336912/ERR1336912_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_3_1_C7BWPACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_3_2_C7BWPACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_3_1_C7BWPACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA588/ERA588028/fastq/BEZ_ADGAOSW_3_2_C7BWPACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/002/ERR1336912	ftp.sra.ebi.ac.uk/vol1/err/ERR133/002/ERR1336912		
