study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6609	SAMEA2621263	ERS490668	ERX1086442	ERR1007415	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR1007415/ERR1007415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007415.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_1_C7CAKACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_2_C7CAKACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007415.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_1_C7CAKACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIAOSW_7_2_C7CAKACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1007415	ftp.sra.ebi.ac.uk/vol1/err/ERR100/005/ERR1007415		
PRJEB6609	SAMEA2621208	ERS490552	ERX1086441	ERR1007416	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/006/ERR1007416/ERR1007416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007416.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_1_C7CAKACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_2_C7CAKACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007416.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_1_C7CAKACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AKEOSW_7_2_C7CAKACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1007416	ftp.sra.ebi.ac.uk/vol1/err/ERR100/006/ERR1007416		
PRJEB6609	SAMEA2621280	ERS490699	ERX1086440	ERR1007417	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/007/ERR1007417/ERR1007417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007417.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_1_C7CAKACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_2_C7CAKACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007417.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_1_C7CAKACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIGOSW_7_2_C7CAKACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1007417	ftp.sra.ebi.ac.uk/vol1/err/ERR100/007/ERR1007417		
PRJEB6609	SAMEA2621225	ERS490606	ERX1086439	ERR1007418	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/008/ERR1007418/ERR1007418_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007418.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_1_C7CAKACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_2_C7CAKACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/ERR1007418.md5;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_1_C7CAKACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA476/ERA476756/fastq/AWI_AIPOSW_7_2_C7CAKACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1007418	ftp.sra.ebi.ac.uk/vol1/err/ERR100/008/ERR1007418		
PRJEB6609	SAMEA2657029	ERS490687	ERX1092408	ERR1013384	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013384/ERR1013384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/ERR1013384.md5;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_1_C0URDACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_2_C0URDACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/ERR1013384.md5;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_1_C0URDACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_8_2_C0URDACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013384	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013384		
PRJEB6609	SAMEA2657029	ERS490687	ERX1092409	ERR1013385	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013385/ERR1013385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/ERR1013385.md5;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_1_C18R8ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_2_C18R8ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/ERR1013385.md5;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_1_C18R8ACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478802/fastq/ARC_AHTAOSW_1_2_C18R8ACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013385	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013385		
PRJEB6609	SAMEA2656955	ERS488262	ERX1782096	ERR1711860	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711860/ERR1711860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_1_D2GDMACXX.IND12_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_2_D2GDMACXX.IND12_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_1_D2GDMACXX.IND12_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ATLAOSW_8_2_D2GDMACXX.IND12_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711860	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711860		
PRJEB6609	SAMEA2620089	ERS488924	ERX1782399	ERR1711861	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711861/ERR1711861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALFAOSW_4_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711861	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711861		
PRJEB6609	SAMEA2622232	ERS492025	ERX1782380	ERR1711862	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711862/ERR1711862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_1_C2AVGACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_2_C2AVGACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_1_C2AVGACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMMAOSW_2_2_C2AVGACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711862	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711862		
PRJEB6609	SAMEA2657102	ERS490712	ERX1782264	ERR1711863	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711863/ERR1711863_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_1_D11YVACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AIEAOSW_2_2_D11YVACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711863	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711863		
